medvidekpu@mastodon.social,true,false,
xchaos@f.cz,true,false,
davidslizek@mastodonczech.cz,true,false,
olikockova@cztwitter.cz,true,false,
nolog@witter.cz,true,false,
fuxoft@kompost.cz,true,false,
filiptitlbach@mastodonczech.cz,true,false,
boninska@cztwitter.cz,true,false,
irozhlas@rozhlas.cz,true,false,
evapavlikova@mastodon.social,true,false,
parlamentnizpravycz@mastodonczech.cz,true,false,
danielsnor@mastodon.social,true,false,
petra_bohemica@mastodon.social,true,false,
fabia_man@mamutovo.cz,true,false,
plsik@mastodon.social,true,false,
beneslenka@mastodonczech.cz,true,false,
michal@spondr.cz,true,false,
zoul@boskovice.social,true,false,
tymoty@f.cz,true,false,
jackc@kompost.cz,true,false,
ottovonwenkoff@mastodonczech.cz,true,false,
unreed@mastodonczech.cz,true,false,
tombarys@mastodon.social,true,false,
stepan@mastodon.skorpil.cz,true,false,
sumavanet@mastodonczech.cz,true,false,
honzakorinek@cztwitter.cz,true,false,
rezzabuh@mastodon.social,true,false,
zbiejczuk@mastodonczech.cz,true,false,
otakar_brabec@cztwitter.cz,true,false,
zechy@mastodonczech.cz,true,false,
piratzbrna@mastodonczech.cz,true,false,
openalt@mastodon.social,true,false,
satai@mathstodon.xyz,true,false,
fandasin@social.linux.pizza,true,false,
infoekcz@mamutovo.cz,true,false,
cernejpudinkcz@mastodonczech.cz,true,false,
lynxbaal@ohai.social,true,false,
vitex@f.cz,true,false,
bycx@mastodonczech.cz,true,false,
janmelvil@mastodonczech.cz,true,false,
erdela@mastodonczech.cz,true,false,
otecfura@witter.cz,true,false,
smoon@mamutovo.cz,true,false,
lepapierblanc@mastodonczech.cz,true,false,
vitsoft@cztwitter.cz,true,false,
xcabal05@mamutovo.cz,true,false,
babaq@mastodonczech.cz,true,false,
tatageek@witter.cz,true,false,
dan@ajtaci.club,true,false,
honzajavorek@mastodonczech.cz,true,false,
tomulinek@mastodonczech.cz,true,false,
krcmar@mastodon.social,true,false,
razemix@mamutovo.cz,true,false,
amarok@mastodonczech.cz,true,false,
anlexcz@witter.cz,true,false,
lacertacz@mastodonczech.cz,true,false,
srandista@mastodonczech.cz,true,false,
aikencz@f.cz,true,false,
sandruska93@mas.to,true,false,
karelcapek@mastodonczech.cz,true,false,
wuwej@mastodonczech.cz,true,false,
bantercz@witter.cz,true,false,
yamato@mastodonczech.cz,true,false,
mkyral@mastodonczech.cz,true,false,
jakub_neruda@techhub.social,true,false,
pavlas@mastodon.social,true,false,
logout@mastodonczech.cz,true,false,
jaandrle@fosstodon.org,true,false,
minimax@mastodonczech.cz,true,false,
cynik_obecny@mamutovo.cz,true,false,
milosb@cztwitter.cz,true,false,
marekpavlis@mastodonczech.cz,true,false,
daliborzz@witter.cz,true,false,
salix@mastodonczech.cz,true,false,
jann@mastodonczech.cz,true,false,
veruhlir@mastodonczech.cz,true,false,
calavera@witter.cz,true,false,
zettl_josef@mamutovo.cz,true,false,
rholas@mamutovo.cz,true,false,
donbahno@mastodonczech.cz,true,false,
vsa@mamutovo.cz,true,false,
eurobubba@mastodonczech.cz,true,false,
sedmagenerace@mastodonczech.cz,true,false,
white_monkey@witter.cz,true,false,
ondras@cztwitter.cz,true,false,
ferda@f.cz,true,false,
elfkam@mastodonczech.cz,true,false,
michal@vltava.cloud,true,false,
radiotata@mastodonczech.cz,true,false,
jirismika@mastodon.social,true,false,
misasuch@witter.cz,true,false,
bzz@mastodonczech.cz,true,false,
tomherlik@mastodon.social,true,false,
architektradim@mastodonczech.cz,true,false,
nacelnik01@mamutovo.cz,true,false,
sledge@mastodonczech.cz,true,false,
tensob_@mastodonczech.cz,true,false
archos@mamutovo.cz,true,false,
arch@arch-linux.cz,true,false,
electric@vaclavpasek.cz,true,false,
adamhavelka@mastodon.prorocketeers.com,true,false,
Kipe@mastodon.social,true,false,
zpravobot@zpravobot.news,true,false,
ozzelot@mstdn.social,true,false,
j4n3z@mastodon.social,true,false,
prahou@merveilles.town,true,false,
mirek@rodina-sucha.cz,true,false,
sesivany@social.vivaldi.net,true,false,
jimmac@mastodon.social,true,false,
Oskar456@mastodon.social,true,false,
jmlich@fosstodon.org,true,false,
ronny@metalhead.club,true,false,
vancura@mastodon.design,true,false,
vhsky@mamutovo.cz,true,false,
